City,State,Passenger Miles
Springfield,MO,"5,776,181 "
Ellicott City,MD,"5,747,733 "
Phoenix,AZ,"5,713,526 "
Springfield,IL,"5,677,827 "
City of Plymouth,MN,"5,661,667 "
San Marcos,TX,"5,652,555 "
Fayetteville,NC,"5,644,860 "
Vero Beach,FL,"5,626,596 "
Preston,CT,"5,624,547 "
Mobile,AL,"5,621,757 "
Charlotte,NC,"5,621,418 "
Lewisville,TX,"5,618,847 "
Pittsburgh,PA,"5,605,226 "
Athens,GA,"5,594,605 "
Austin,TX,"5,591,419 "
Burlington,VT,"5,538,796 "
San Bernardino,CA,"5,521,135 "
Research Triangle Park,NC,"5,398,318 "
Asheville,NC,"5,317,151 "
Wailuku,HI,"5,313,682 "
Chico,CA,"5,309,753 "
La Plata,MD,"5,266,172 "
Marysville,CA,"5,216,574 "
Merced,CA,"5,187,369 "
New Britain,CT,"5,174,714 "
Iowa City,IA,"5,174,411 "
Norwalk,CT,"5,172,261 "
Evansville,IN,"5,155,655 "
Sugar Land,TX,"5,153,699 "
Fort Wayne,IN,"5,137,688 "
Raleigh,NC,"5,126,387 "
Olathe,KS,"5,118,610 "
Nashville,TN,"5,094,270 "
Topeka,KS,"5,079,722 "
Fitchburg,MA,"5,067,379 "
Burlington,WA,"5,037,035 "
Flint,MI,"4,994,801 "
St. Cloud,MN,"4,981,421 "
Albany,NY,"4,976,715 "
Kingston,PA,"4,946,922 "
Hampton,VA,"4,932,543 "
Nashville,TN,"4,928,935 "
Port Richey,FL,"4,915,425 "
Grand Rapids,MI,"4,914,442 "
Auburn,CA,"4,911,155 "
Rome,GA,"4,891,750 "
Bourbonnais,IL,"4,879,471 "
Elk Grove,CA,"4,871,029 "
Pittsfield,MA,"4,870,695 "
Logan,UT,"4,858,236 "
Huntington,WV,"4,778,570 "
Redding,CA,"4,777,496 "
Scranton,PA,"4,742,159 "
Bremerton,WA,"4,670,757 "
Waco,TX,"4,632,565 "
Danbury,CT,"4,628,655 "
Muncie,IN,"4,565,015 "
Diamond Springs,CA,"4,524,872 "
San Jose,CA,"4,521,225 "
Yuma,AZ,"4,512,988 "
Hanford,CA,"4,494,587 "
Baltimore,MD,"4,457,972 "
Franklin,TN,"4,440,169 "
Hartford,CT,"4,439,221 "
Harrisonburg,VA,"4,419,339 "
Appleton,WI,"4,403,457 "
South Bend,IN,"4,388,359 "
Waterbury,CT,"4,328,170 "
Charleroi,PA,"4,325,832 "
Miami,FL,"4,325,111 "
Greenville,SC,"4,286,357 "
Woods Hole,MA,"4,278,356 "
Gulfport,MS,"4,275,534 "
Allentown,PA,"4,263,715 "
Spokane,WA,"4,263,290 "
Kenosha,WI,"4,255,186 "
San Juan,PR,"4,253,141 "
Jacksonville,FL,"4,252,546 "
St. Paul,MN,"4,230,369 "
Granite City,IL,"4,230,120 "
Burlington,VT,"4,228,574 "
Tucson   ,AZ,"4,211,767 "
Poughkeepsie,NY,"4,191,390 "
Birmingham,AL,"4,171,055 "
Baltimore,MD,"4,165,815 "
Brooklyn,NY,"4,123,830 "
Lancaster,PA,"4,113,483 "
